"filename", "language", "YAML", "Markdown", "Shell Script", "JavaScript", "SQL", "XML", "CSS", "JSON", "HTML", "Docker", "comment", "blank", "total"
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\users\userDetails.js", "JavaScript", 0, 0, 0, 209, 0, 0, 0, 0, 0, 0, 0, 8, 217
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\users\users.js", "JavaScript", 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 1, 5, 91
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\reportWebVitals.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\setupTests.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\utils\functions.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\build_frontend.sh", "Shell Script", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 8, 24
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\README.md", "Markdown", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 30596, 0, 0, 0, 1, 30597
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 1, 49
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\public\bme.svg", "XML", 0, 0, 0, 0, 0, 1271, 0, 0, 0, 0, 0, 0, 1271
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 23, 1, 44
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\public\login.svg", "XML", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 1, 47
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\App.js", "JavaScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 2, 31
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\App.test.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\api\auth.js", "JavaScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 2, 31
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\api\department.api.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\api\question.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\api\subject.api.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\api\user.api.js", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\components\footer.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
